id,key,value,type
5697599,county,"Bronx, NY",tiger
5697599,reviewed,no,tiger
5697599,zip_left,10456,tiger
5697599,name_base,Clinton,tiger
5697599,name_type,Avenue,tiger
5697599,zip_right,10456,tiger
5697753,name,Carter Avenue,regular
5697753,highway,residential,regular
5697753,cfcc,A41,tiger
5697753,county,"Bronx, NY",tiger
5697753,reviewed,no,tiger
5697753,zip_left,10457,tiger
5697753,name_base,Carter,tiger
5697753,name_type,Avenue,tiger
5697753,zip_right,10457,tiger
5697965,name,Graham Street,regular
5697965,name_1,Graham Place,regular
5697965,highway,residential,regular
5697965,cfcc,A41,tiger
5697965,county,"Bronx, NY",tiger
5697965,reviewed,no,tiger
5697965,name_base,Graham,tiger
5697965,name_type,Street,tiger
5697965,name_base_1,Graham,tiger
5697965,name_type_1,Pl,tiger
5698124,toll,yes,regular
5698124,oneway,yes,regular
5698124,highway,motorway_link,regular
5698124,cfcc,A41,tiger
5698124,county,"Bronx, NY",tiger
5698124,reviewed,no,tiger
5698124,name_base,Henry Hudson,tiger
5698124,name_type,Pky,tiger
5698124,name_direction_suffix,E,tiger
5698313,name,Barnes Avenue,regular
5698313,oneway,yes,regular
5698313,highway,residential,regular
5698313,cfcc,A41,tiger
5698313,county,"Bronx, NY",tiger
5698313,reviewed,no,tiger
5698313,zip_left,10470,tiger
5698313,name_base,Barnes,tiger
5698313,name_type,Avenue,tiger
5698313,zip_right,10470,tiger
5698481,name,Radcliff Avenue,regular
5698481,highway,residential,regular
5698481,cfcc,A41,tiger
5698481,tlid,80303340:80303350:80303510:80303512:80303353:80303522:80303530:80303525,tiger
5698481,county,"Bronx, NY",tiger
5698481,source,tiger_import_dch_v0.6_20070829,tiger
5698481,reviewed,no,tiger
5698481,zip_left,10469,tiger
5698481,name_base,Radcliff,tiger
5698481,name_type,Avenue,tiger
5698481,separated,no,tiger
5698481,zip_right,10469,tiger
5698481,upload_uuid,bulk_upload.pl-31e02009-f620-482f-9ce6-28e1cea72242,tiger
5698650,name,Tenbroeck Avenue,regular
5698650,highway,residential,regular
5698650,cfcc,A41,tiger
5698650,tlid,80303632,tiger
5698650,county,"Bronx, NY",tiger
5698650,source,tiger_import_dch_v0.6_20070829,tiger
5698650,reviewed,no,tiger
5698650,zip_left,10469,tiger
5698650,name_base,Tenbroeck,tiger
5698650,name_type,Avenue,tiger
5698650,separated,no,tiger
5698650,zip_right,10469,tiger
5698650,upload_uuid,bulk_upload.pl-31e02009-f620-482f-9ce6-28e1cea72242,tiger
5698817,name,East 220th Street,regular
5698817,oneway,yes,regular
5698817,highway,residential,regular
5698817,cfcc,A41,tiger
5698817,county,"Bronx, NY",tiger
5698817,reviewed,no,tiger
5698817,zip_left,10469,tiger
5698817,name_base,220th,tiger
5698817,name_type,Street,tiger
5698817,zip_right,10469,tiger
5698817,name_direction_prefix,E,tiger
5699001,name,Stickball Boulevard,regular
5699001,highway,residential,regular
5699001,cfcc,A41,tiger
5699001,tlid,80309120:80310591,tiger
5699001,county,"Bronx, NY",tiger
5699001,source,tiger_import_dch_v0.6_20070829,tiger
5699001,reviewed,no,tiger
5699001,name_base,Stickball,tiger
5699001,name_type,Boulevard,tiger
5699001,separated,no,tiger
5699001,upload_uuid,bulk_upload.pl-31e02009-f620-482f-9ce6-28e1cea72242,tiger
5699152,name,West 174th Street,regular
5699152,highway,residential,regular
5699152,cfcc,A41,tiger
5699152,tlid,80299614,tiger
5699152,county,"Bronx, NY",tiger
5699152,source,tiger_import_dch_v0.6_20070829,tiger
5699152,reviewed,no,tiger
5699152,zip_left,10453,tiger
5699152,name_base,174th,tiger
5699152,name_type,Street,tiger
5699152,separated,no,tiger
5699152,zip_right,10453,tiger
5699152,upload_uuid,bulk_upload.pl-31e02009-f620-482f-9ce6-28e1cea72242,tiger
5699152,name_direction_prefix,W,tiger
5699308,name,East 198th Street,regular
5699308,highway,residential,regular
5699308,cfcc,A41,tiger
5699308,county,"Bronx, NY",tiger
5699308,reviewed,no,tiger
5699308,zip_left,10458,tiger
5699308,name_base,198th,tiger
5699308,name_type,Street,tiger
5699308,zip_right,10458,tiger
5699308,name_direction_prefix,E,tiger
5699503,name,Buck Street,regular
5699503,oneway,yes,regular
5699503,highway,residential,regular
5699503,cfcc,A41,tiger
5699503,county,"Bronx, NY",tiger
5699503,reviewed,no,tiger
5699503,zip_left,10461,tiger
5699503,name_base,Buck,tiger
5699503,name_type,Street,tiger
5699503,zip_right,10461,tiger
5699675,name,Erdman Place,regular
5699675,highway,residential,regular
5699675,cfcc,A41,tiger
5699675,tlid,80306540,tiger
5699675,county,"Bronx, NY",tiger
5699675,source,tiger_import_dch_v0.6_20070829,tiger
5699675,reviewed,no,tiger
5699675,zip_left,10475,tiger
5699675,name_base,Erdman,tiger
5699675,name_type,Pl,tiger
5699675,separated,no,tiger
5699675,zip_right,10475,tiger
5699675,upload_uuid,bulk_upload.pl-31e02009-f620-482f-9ce6-28e1cea72242,tiger
5699837,name,92nd Avenue,regular
5699837,highway,residential,regular
5699837,cfcc,A41,tiger
5699837,county,"Queens, NY",tiger
5699837,reviewed,no,tiger
5699837,zip_left,11418,tiger
5699837,name_base,92nd,tiger
5699837,name_type,Avenue,tiger
5699837,zip_right,11418,tiger
5699837,zip_left_1,11418,tiger
5699837,zip_right_1,11418,tiger
5699980,cfcc,A41,tiger
5699980,county,"Queens, NY",tiger
5699980,reviewed,no,tiger
5700382,oneway,yes,regular
5700382,highway,motorway_link,regular
5700382,cfcc,A63,tiger
5700382,tlid,59740320:59733540:59733541:59738892:59740081:59733551,tiger
5700382,county,"Queens, NY",tiger
5700382,source,tiger_import_dch_v0.6_20070829,tiger
5700382,upload_uuid,bulk_upload.pl-76c2f01f-97e8-4577-832a-27364377b656,tiger
5700775,oneway,yes,regular
5700775,highway,motorway_link,regular
5700775,cfcc,A63,tiger
5700775,destination,Union Turnpike West,regular
5700775,county,"Queens, NY",tiger
5701107,name,60th Road,regular
5701107,highway,residential,regular
5701107,cfcc,A41,tiger
5701107,tlid,59695799,tiger
5701107,county,"Queens, NY",tiger
5701107,source,tiger_import_dch_v0.6_20070829,tiger
5701107,reviewed,no,tiger
5701107,zip_left,11379,tiger
5701107,name_base,60th,tiger
5701107,name_type,Road,tiger
5701107,separated,no,tiger
5701107,zip_right,11379,tiger
5701107,zip_left_1,11379,tiger
5701107,zip_left_2,11379,tiger
5701107,zip_left_3,11379,tiger
5701107,upload_uuid,bulk_upload.pl-76c2f01f-97e8-4577-832a-27364377b656,tiger
5701107,zip_right_1,11379,tiger
5701107,zip_right_2,11379,tiger
5701107,zip_right_3,11379,tiger
5701254,name,85th Avenue,regular
5701254,highway,residential,regular
5701254,cfcc,A41,tiger
5701254,tlid,59710456:59712584:59707902:59707893:59707861:59707862:59707867:59707899:59712561:59712563:59712567,tiger
5701254,county,"Queens, NY",tiger
5701254,source,tiger_import_dch_v0.6_20070829,tiger
5701254,reviewed,no,tiger
5701254,zip_left,11415,tiger
5701254,name_base,85th,tiger
5701254,name_type,Avenue,tiger
5701254,separated,no,tiger
5701254,zip_right,11415,tiger
5701254,upload_uuid,bulk_upload.pl-76c2f01f-97e8-4577-832a-27364377b656,tiger
5701378,lcn,yes,regular
5701378,name,Catalpa Avenue,regular
5701378,oneway,yes,regular
5701378,highway,residential,regular
5701378,cycleway,shared_lane,regular
5701378,cfcc,A41,tiger
5701378,county,"Queens, NY",tiger
5701378,zip_left,11385,tiger
5701378,name_base,Catalpa,tiger
5701378,name_type,Avenue,tiger
5701378,zip_right,11385,tiger
5701562,name,145th Avenue,regular
5701562,highway,residential,regular
5701562,cfcc,A41,tiger
5701562,county,"Queens, NY",tiger
5701562,reviewed,no,tiger
5701562,zip_left,11422,tiger
5701562,name_base,145th,tiger
5701562,name_type,Avenue,tiger
5701562,zip_right,11422,tiger
5701721,lit,yes,regular
5701721,name,37th Avenue,regular
5701721,lanes,2,regular
5701721,oneway,no,regular
5701721,highway,residential,regular
5701721,surface,asphalt,regular
5701721,maxspeed,25 mph,regular
5701721,smoothness,good,regular
5701721,cfcc,A41,tiger
5701721,county,"Queens, NY",tiger
5701721,reviewed,no,tiger
5701721,zip_left,11368,tiger
5701721,name_base,37th,tiger
5701721,name_type,Avenue,tiger
5701721,zip_right,11368,tiger
5701895,name,62nd Avenue,regular
5701895,highway,residential,regular
5701895,cfcc,A41,tiger
5701895,tlid,59704894:59704896:59704898:59732705:59705230,tiger
5701895,county,"Queens, NY",tiger
5701895,source,tiger_import_dch_v0.6_20070829,tiger
5701895,reviewed,no,tiger
5701895,zip_left,11374,tiger
5701895,name_base,62nd,tiger
5701895,name_type,Avenue,tiger
5701895,separated,no,tiger
5701895,zip_right,11374,tiger
5701895,upload_uuid,bulk_upload.pl-76c2f01f-97e8-4577-832a-27364377b656,tiger
5702063,name,57th Road,regular
5702063,oneway,yes,regular
5702063,highway,residential,regular
5702063,cfcc,A41,tiger
5702063,county,"Queens, NY",tiger
5702063,reviewed,no,tiger
5702063,zip_left,11378,tiger
5702063,name_base,57th,tiger
5702063,name_type,Road,tiger
5702063,zip_right,11378,tiger
5702302,hgv,designated,regular
5702302,name,21st Street,regular
5702302,lanes,2,regular
5702302,highway,residential,regular
5702302,hgv,Rules of the City of New York Title 34 §4-13 http://24.97.137.100/nyc/rcny/Title34_4-13.asp,source
5702302,cfcc,A41,tiger
5702302,county,"Queens, NY",tiger
5702302,reviewed,no,tiger
5702302,zip_left,11101,tiger
5702302,name_base,21st,tiger
5702302,name_type,Street,tiger
5702302,zip_right,11101,tiger
5702492,name,173rd Street,regular
